cnt[0], 0x03F0,
cnt[1], 0x07B2,
cnt[2], 0x043F,
cnt[3], 0x03C8,
cnt[4], 0x0830,
cnt[5], 0x07B2,
cnt[6], 0x0446,
cnt[7], 0x07B2,
cnt[8], 0x043F,
cnt[9], 0x03C8,
cnt[10], 0x0829,
cnt[11], 0x03C8,
cnt[12], 0x0829,
cnt[13], 0x03C8,
cnt[14], 0x0829,
cnt[15], 0x03C8,
cnt[16], 0x0851,
cnt[17], 0x03C8,
cnt[18], 0x0829,
cnt[19], 0x03C8,
cnt[20], 0x0829,
cnt[21], 0x03C8,
cnt[22], 0x0829,
cnt[23], 0x03C8,
cnt[24], 0x0829,
cnt[25], 0x03C8,
cnt[26], 0x0829,
cnt[27], 0x03C8,
cnt[28], 0x0829,
cnt[29], 0x03C8,
cnt[30], 0x0830,
cnt[31], 0x07B2,
cnt[32], 0x0467,
cnt[33], 0x03C8,
cnt[34], 0x0829,
cnt[35], 0x03C8,
cnt[36], 0x0829,
cnt[37], 0x03C8,
cnt[38], 0x0830,
cnt[39], 0x07B2,
cnt[40], 0x03F7,
cnt[41], 0x0000,
cnt[42], 0x0000,
cnt[43], 0x0000,
cnt[44], 0x0000,
cnt[45], 0x0000,
cnt[46], 0x0000,
cnt[47], 0x0000,
cnt[48], 0x0000,
cnt[49], 0x0000,
